NO,DN,BEGIN_TIME,END_TIME,R001_001,R001_002,R001_003,R001_004,R001_005,R001_006,R001_007,R001_008,R001_009,R001_010,R001_011,R001_012,R001_014,R001_016,R001_018,R001_020,R001_022,R001_013,R001_015,R001_017,R001_019,R001_021,RATE
0,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 0:15,2018/7/1 0:15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,37.0,131.0,0.0,0.0,75.0,38.0,131.0,99.59
6588,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 0:15,2018/7/1 0:30,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,37.0,128.0,0.0,0.0,76.0,44.0,128.0,97.18
13175,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 0:30,2018/7/1 0:45,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,33.0,123.0,0.0,0.0,76.0,35.0,123.0,99.15
19763,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 0:45,2018/7/1 1:00,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,36.0,135.0,0.0,0.0,85.0,42.0,135.0,97.71
27038,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 1:15,2018/7/1 1:30,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,54.0,125.0,0.0,0.0,85.0,62.0,125.0,97.06
33625,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 1:30,2018/7/1 1:45,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,54.0,120.0,0.0,0.0,77.0,56.0,120.0,99.21
40212,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 1:45,2018/7/1 2:00,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,43.0,132.0,0.0,0.0,82.0,50.0,132.0,97.35
46803,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 2:00,2018/7/1 2:15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,26.0,136.0,0.0,0.0,103.0,27.0,136.0,99.62
53391,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 2:15,2018/7/1 2:30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,33.0,151.0,0.0,0.0,85.0,34.0,151.0,99.63
59978,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 2:30,2018/7/1 2:45,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,25.0,124.0,0.0,0.0,105.0,27.0,124.0,99.22
66565,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 2:45,2018/7/1 3:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,20.0,133.0,0.0,0.0,78.0,21.0,133.0,99.57
73155,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 3:00,2018/7/1 3:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,21.0,125.0,0.0,0.0,83.0,21.0,125.0,100.0
79744,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 3:15,2018/7/1 3:30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,23.0,124.0,0.0,0.0,79.0,24.0,124.0,99.56
86331,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 3:30,2018/7/1 3:45,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,22.0,125.0,0.0,0.0,98.0,25.0,125.0,98.79
