DN,BEGIN_TIME,END_TIME,R001_001,R001_002,R001_003,R001_004,R001_005,R001_006,R001_007,R001_008,R001_009,R001_010,R001_011,R001_012,R001_014,R001_016,R001_018,R001_020,R001_022,R001_013,R001_015,R001_017,R001_019,R001_021,RATE
0,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 0:15,2018/7/1 0:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75,37,131,0,0,75,38,131,0.9
6588,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 0:15,2018/7/1 0:30,0,0,0,0,0,0,7,0,0,0,0,0,0,0,76,37,128,0,0,76,44,128,0.9
13175,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 0:30,2018/7/1 0:45,0,0,0,0,0,0,2,0,0,0,0,0,0,0,76,33,123,0,0,76,35,123,0.9
19763,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 0:45,2018/7/1 1:00,0,0,0,0,0,0,6,0,0,0,0,0,0,0,85,36,135,0,0,85,42,135,0.9
27038,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 1:15,2018/7/1 1:30,0,0,0,0,0,0,8,0,0,0,0,0,0,0,85,54,125,0,0,85,62,125,0.9
33625,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 1:30,2018/7/1 1:45,0,0,0,0,0,0,2,0,0,0,0,0,0,0,77,54,120,0,0,77,56,120,0.9
40212,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 1:45,2018/7/1 2:00,0,0,0,0,0,0,7,0,0,0,0,0,0,0,82,43,132,0,0,82,50,132,0.9
46803,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 2:00,2018/7/1 2:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,103,26,136,0,0,103,27,136,0.9
53391,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 2:15,2018/7/1 2:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,85,33,151,0,0,85,34,151,0.9
59978,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 2:30,2018/7/1 2:45,0,0,0,0,0,0,2,0,0,0,0,0,0,0,105,25,124,0,0,105,27,124,0.9
66565,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 2:45,2018/7/1 3:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,78,20,133,0,0,78,21,133,0.9
73155,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 3:00,2018/7/1 3:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,21,125,0,0,83,21,125,0.9
79744,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 3:15,2018/7/1 3:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,79,23,124,0,0,79,24,124,0.9
